brand,population,slice,day,n_users,n_cost_dates,sum_cum,actual_arpu,actual_ratio,actual_arpu_dstar,d_star,shape_ok,raw_goal_ratio,organic_share,adjusted_goal_ratio,ARPU_nominal,ARPU_at_horizon,frozen_shape,shape_signed_bias,shape_ae,shape_ape,level_signed_bias,level_ae,level_ape
lonestar,Affiliate,first_5_days,1,5376,5,28277.44,5.259940476190476,0.16342513691128466,32.185626860119044,35.0,True,0.23423131773612488,0.3176517510429064,0.15982732950815742,5.412097363003627,23.105780282979357,0.35834274472377914,-0.19491760781249448,0.19491760781249448,0.543941828549487,-0.15215688681315154,0.15215688681315154,0.02811421831641013
lonestar,Affiliate,first_5_days,7,5376,5,105560.72,19.635550595238094,0.6100720262673631,32.185626860119044,35.0,True,0.39508023698628914,0.3176517510429064,0.2695823079051479,9.128637149952612,23.105780282979357,0.6044201854650343,0.005651840802328834,0.005651840802328834,0.00935084720570735,10.506913445285482,10.506913445285482,1.1509837966711192
lonestar,Affiliate,first_5_days,14,5376,5,127171.40000000001,23.655394345238097,0.7349676440370752,32.185626860119044,35.0,True,0.4902144266387562,0.3176517510429064,0.3344969556304609,11.326786833461803,23.105780282979357,0.7499628352124206,-0.014995191175345424,0.014995191175345424,0.019994579026170228,12.328607511776294,12.328607511776294,1.0884470320704627
lonestar,Affiliate,first_5_days,30,5376,5,164098.09000000003,30.52419828869048,0.9483797976454135,32.185626860119044,35.0,True,0.6244770317210313,0.3176517510429064,0.4261108091087691,14.42902908671328,23.105780282979357,0.955366753373135,-0.006986955727721567,0.006986955727721567,0.007313375416354571,16.0951692019772,16.0951692019772,1.1154713948700925
lonestar,Affiliate,first_5_days,35,5376,5,173029.93,32.185626860119044,1.0,32.185626860119044,35.0,True,0.6536516259501141,0.3176517510429064,0.4460180423950174,15.103130850815543,23.105780282979357,1.0,0.0,0.0,0.0,17.0824960093035,17.0824960093035,1.1310566119064696
lonestar,Affiliate,first_day,1,943,1,5370.0199999999995,5.694612937433722,0.2797038379703057,20.359437963944856,39.0,True,0.23423131773612488,0.3176517510429064,0.15982732950815742,5.412097363003627,23.105780282979357,0.34696864328947125,-0.06726480531916557,0.06726480531916557,0.19386421977921345,0.2825155744300947,0.2825155744300947,0.052200756098981754
lonestar,Affiliate,first_day,7,943,1,13341.259999999998,14.14767762460233,0.6948952937530437,20.359437963944856,39.0,True,0.39508023698628914,0.3176517510429064,0.2695823079051479,9.128637149952612,23.105780282979357,0.5852353781830515,0.10965991556999222,0.10965991556999222,0.18737745470967151,5.019040474649719,5.019040474649719,0.5498126820251338
lonestar,Affiliate,first_day,14,943,1,14170.06,15.026574761399788,0.7380643212259004,20.359437963944856,39.0,True,0.4902144266387562,0.3176517510429064,0.3344969556304609,11.326786833461803,23.105780282979357,0.7261583812775643,0.011905939948336108,0.011905939948336108,0.016395789479685455,3.699787927937985,3.699787927937985,0.3266405541426809
lonestar,Affiliate,first_day,30,943,1,18240.41,19.342958642629906,0.9500733113008786,20.359437963944856,39.0,True,0.6244770317210313,0.3176517510429064,0.4261108091087691,14.42902908671328,23.105780282979357,0.9250426055570334,0.02503070574384514,0.02503070574384514,0.027058976087671535,4.913929555916626,4.913929555916626,0.3405585730256468
lonestar,Affiliate,first_day,35,943,1,18637.16,19.763690349946977,0.9707385039286003,20.359437963944856,39.0,True,0.6536516259501141,0.3176517510429064,0.4460180423950174,15.103130850815543,23.105780282979357,0.968259155231187,0.002479348697413286,0.002479348697413286,0.0025606251012636207,4.660559499131434,4.660559499131434,0.3085823426392265
lonestar,Affiliate,first_day,39,943,1,19198.95,20.359437963944856,1.0,20.359437963944856,39.0,True,0.6750792103732234,0.3176517510429064,0.46063911710550637,15.598231908490899,23.105780282979357,1.0,0.0,0.0,0.0,4.7612060554539575,4.7612060554539575,0.30524011204514756
lonestar,Affiliate,overall_level,1,66642,39,339742.1,5.098017766573632,,,,False,0.23423131773612488,0.3176517510429064,0.15982732950815742,5.412097363003627,23.105780282979357,,,,,-0.3140795964299956,0.3140795964299956,0.05803287992876877
lonestar,Affiliate,overall_level,7,54012,33,813434.12,15.060248093016366,,,,False,0.39508023698628914,0.3176517510429064,0.2695823079051479,9.128637149952612,23.105780282979357,,,,,5.931610943063754,5.931610943063754,0.649780558217778
lonestar,Affiliate,overall_level,14,39676,26,821353.1,20.701509728803305,,,,False,0.4902144266387562,0.3176517510429064,0.3344969556304609,11.326786833461803,23.105780282979357,,,,,9.374722895341502,9.374722895341502,0.8276595148455097
